,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,achievement_count,athlete_count,start_date,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,elev_high,elev_low,pr_count
66,7672802806,Grand Prismatic Spring,1.22969123,0.4608333333333333,0.5419444444444445,22.0,Walk,Walk,0,1,2022-08-20T19:40:49Z,1.193,2.391,{},True,84.4,115.0,2215.0,2201.8,0
67,7672795621,Grand Canyon of the Yellowstone,2.267565541,0.8469444444444445,1.0722222222222222,78.9,Hike,Hike,0,1,2022-08-20T16:56:43Z,1.197,2.365,{},True,90.8,126.0,2382.0,2332.2,0
68,7647730671,Morning Ride,13.40854323,0.8002777777777778,0.8061111111111111,45.3,Ride,Ride,2,1,2022-08-16T13:01:37Z,7.49,12.186,{},True,132.3,153.0,1355.7,1313.8,0
69,7645111248,Afternoon Ride,15.095749191,1.2769444444444444,1.451111111111111,369.7,Ride,Ride,10,1,2022-08-15T23:32:20Z,5.285,18.684,{},True,114.2,145.0,1897.1,1503.2,2
70,7631695217,City Creek,18.012770656,1.7766666666666666,2.335,604.2,Ride,Ride,0,3,2022-08-13T12:51:59Z,4.532,14.498,{},True,124.1,173.0,1826.5,1346.7,0
71,7614807944,Morning Run,0.948956264,0.1388888888888889,0.14722222222222223,5.8,Run,Run,0,1,2022-08-10T13:38:05Z,3.054,4.13,{},True,149.1,168.0,1355.2,1349.1,0
72,7609056966,Run/walk with the dog,2.957534789,0.5316666666666666,0.6025,3.7,Run,Run,3,1,2022-08-09T13:38:26Z,2.487,4.714,{},True,125.4,164.0,1323.4,1319.5,2
73,7603780257,Morning Run,2.0298293789999997,0.40055555555555555,0.4116666666666667,5.9,Run,Run,1,1,2022-08-08T13:28:15Z,2.265,5.589,{},True,115.0,149.0,1328.3,1322.3,0
74,7556083193,Emerald Pools,2.105636519,1.0822222222222222,1.3027777777777778,196.5,Hike,Hike,0,1,2022-07-30T19:01:50Z,0.87,2.82,{},True,84.5,129.0,1412.5,1304.3,0
75,7555690251,Zion Overlook,2.260668334,0.6838888888888889,1.2322222222222223,65.0,Hike,Hike,0,1,2022-07-30T16:55:28Z,1.478,16.999,{},True,81.1,119.0,1610.1,1252.2,0
76,7499520519,Morning Ride,13.344107161,0.7769444444444444,0.8119444444444445,45.3,Ride,Ride,7,1,2022-07-20T13:00:12Z,7.678,13.485,{},True,136.0,163.0,1355.6,1313.8,2
77,7467745607,Morning Ride,13.468256886999999,0.8386111111111111,0.8511111111111112,45.2,Ride,Ride,1,1,2022-07-14T12:54:22Z,7.18,13.301,{},True,122.1,146.0,1355.5,1313.8,0
78,7430251420,Morning Run,0.9718226799999999,0.13361111111111112,0.14555555555555555,5.8,Run,Run,3,1,2022-07-07T14:24:12Z,3.252,4.43,{},True,162.7,173.0,1355.5,1349.1,1
79,7430017896,Morning Ride,12.356874505,0.7916666666666666,0.7955555555555556,220.2,Ride,Ride,3,1,2022-07-07T12:52:16Z,6.978,13.85,{},True,139.7,166.0,1498.8,1429.0,3
80,7419008640,Morning Ride,10.60802864,0.7172222222222222,0.7380555555555556,234.1,Ride,Ride,1,1,2022-07-05T12:56:50Z,6.612,17.364,{},False,{},{},1513.8,1409.2,0
